Date,Hour,PJM_Load
12/21/00,1300,35695

12/21/00,1400,35525

12/21/00,1500,35241

12/21/00,1600,35453

12/21/00,1700,36870

12/21/00,1800,39777

12/21/00,1900,40218

12/21/00,2000,39823

12/21/00,2100,39179

12/21/00,2200,37956

12/21/00,2300,35510

12/21/00,2400,32485

12/20/00,100,29650

12/20/00,200,28886

12/20/00,300,28578

12/20/00,400,28867

12/20/00,500,29440

12/20/00,600,31462

12/20/00,700,35055

12/20/00,800,37320

12/20/00,900,38669

12/20/00,1000,38368

12/20/00,1100,37819

12/20/00,1200,37443

12/20/00,1300,36328

12/20/00,1400,35954

12/20/00,1500,35624

12/20/00,1600,35833

12/20/00,1700,36917

12/20/00,1800,40851

12/20/00,1900,41489

12/20/00,2000,41076

12/20/00,2100,40555

12/20/00,2200,39602

12/20/00,2300,37074

12/20/00,2400,34514

12/19/00,100,30868

12/19/00,200,29254

12/19/00,300,28562

12/19/00,400,28484

12/19/00,500,28988

12/19/00,600,30669

12/19/00,700,34265

12/19/00,800,37092

12/19/00,900,37289

12/19/00,1000,36938

12/19/00,1100,36809

12/19/00,1200,36365

12/19/00,1300,35717

12/19/00,1400,35439

12/19/00,1500,35614

12/19/00,1600,35639

12/19/00,1700,36805

12/19/00,1800,40044

12/19/00,1900,40353

12/19/00,2000,39888

12/19/00,2100,39147

12/19/00,2200,37892

12/19/00,2300,35209

12/19/00,2400,32096

12/18/00,100,28260

12/18/00,200,27382

12/18/00,300,27345

12/18/00,400,27647

12/18/00,500,27988

12/18/00,600,30071

12/18/00,700,34128

12/18/00,800,36734

12/18/00,900,36929

12/18/00,1000,36808

12/18/00,1100,36619

12/18/00,1200,36040

12/18/00,1300,35183

12/18/00,1400,34905

12/18/00,1500,34459

12/18/00,1600,34092

12/18/00,1700,35753

12/18/00,1800,39287

12/18/00,1900,40345

12/18/00,2000,39797

12/18/00,2100,39269

12/18/00,2200,38301

12/18/00,2300,35978

12/18/00,2400,33000

12/17/00,100,25539

12/17/00,200,24189

12/17/00,300,22958

12/17/00,400,22310

12/17/00,500,22023

12/17/00,600,22359

12/17/00,700,23032

12/17/00,800,23969

12/17/00,900,25404

12/17/00,1000,27019

12/17/00,1100,27848

12/17/00,1200,28292

12/17/00,1300,28318

12/17/00,1400,28214

12/17/00,1500,28183

12/17/00,1600,28416

12/17/00,1700,29727

12/17/00,1800,32731

12/17/00,1900,33883

12/17/00,2000,34606

12/17/00,2100,34200

12/17/00,2200,33757

12/17/00,2300,32331

12/17/00,2400,30089

12/16/00,100,28702

12/16/00,200,27176

12/16/00,300,26379

12/16/00,400,26053

12/16/00,500,25961

12/16/00,600,26392

12/16/00,700,27825

12/16/00,800,29346

12/16/00,900,31328

12/16/00,1000,32996

12/16/00,1100,33656

12/16/00,1200,33594

12/16/00,1300,33062

12/16/00,1400,32515

12/16/00,1500,32208

12/16/00,1600,31952

12/16/00,1700,32864

12/16/00,1800,34584

12/16/00,1900,34364

12/16/00,2000,33526

12/16/00,2100,32672

12/16/00,2200,31398

12/16/00,2300,29937

12/16/00,2400,27896

12/15/00,100,27994

12/15/00,200,27035

12/15/00,300,26579

12/15/00,400,26541

12/15/00,500,27069

12/15/00,600,29123

12/15/00,700,32826

12/15/00,800,35736

12/15/00,900,35873

12/15/00,1000,35474

12/15/00,1100,34870

12/15/00,1200,34217

12/15/00,1300,33622

12/15/00,1400,33294

12/15/00,1500,33021

12/15/00,1600,32949

12/15/00,1700,34331

12/15/00,1800,37222

12/15/00,1900,37412

12/15/00,2000,36967

12/15/00,2100,36631

12/15/00,2200,35219

12/15/00,2300,33608

12/15/00,2400,30893

12/14/00,100,29570

12/14/00,200,28362

12/14/00,300,28078

12/14/00,400,27874

12/14/00,500,28035

12/14/00,600,29810

12/14/00,700,32413

12/14/00,800,35437

12/14/00,900,36163

12/14/00,1000,36351

12/14/00,1100,36211

12/14/00,1200,35263

12/14/00,1300,34606

12/14/00,1400,34201

12/14/00,1500,33786

12/14/00,1600,33795

12/14/00,1700,34842

12/14/00,1800,38279

12/14/00,1900,38640

12/14/00,2000,38037

12/14/00,2100,37333

12/14/00,2200,35896

12/14/00,2300,33495

12/14/00,2400,30617

12/13/00,100,29498

12/13/00,200,28729

12/13/00,300,28311

12/13/00,400,28253

12/13/00,500,29059

12/13/00,600,31389

12/13/00,700,35167

12/13/00,800,37660

12/13/00,900,37543

12/13/00,1000,37239

12/13/00,1100,36535

12/13/00,1200,35923

12/13/00,1300,35350

12/13/00,1400,35206

12/13/00,1500,35146

12/13/00,1600,35192

12/13/00,1700,36833

12/13/00,1800,39982

12/13/00,1900,40449

12/13/00,2000,39754

12/13/00,2100,38965

12/13/00,2200,37473

12/13/00,2300,34812

12/13/00,2400,31802

12/12/00,100,26959

12/12/00,200,25665

12/12/00,300,24983

12/12/00,400,24643

12/12/00,500,24776

12/12/00,600,26222

12/12/00,700,30021

12/12/00,800,32855

12/12/00,900,32976

12/12/00,1000,33212

12/12/00,1100,33388

12/12/00,1200,33528

12/12/00,1300,33476

12/12/00,1400,33275

12/12/00,1500,33433

12/12/00,1600,33237

12/12/00,1700,34810

12/12/00,1800,38316

12/12/00,1900,39503

12/12/00,2000,38959

12/12/00,2100,38324

12/12/00,2200,37139

12/12/00,2300,34529

12/12/00,2400,31408

12/11/00,100,26260

12/11/00,200,25358

12/11/00,300,24931

12/11/00,400,25093

12/11/00,500,25766

12/11/00,600,27860

12/11/00,700,31536

12/11/00,800,34380

12/11/00,900,35165

12/11/00,1000,35104

12/11/00,1100,35015

12/11/00,1200,34684

12/11/00,1300,33912

12/11/00,1400,33702

12/11/00,1500,33346

12/11/00,1600,33578

12/11/00,1700,35269

12/11/00,1800,38145

12/11/00,1900,38267

12/11/00,2000,37714

12/11/00,2100,36915

12/11/00,2200,35352

12/11/00,2300,32511

12/11/00,2400,29351

12/10/00,100,27997

12/10/00,200,26880

12/10/00,300,26302

12/10/00,400,26150

12/10/00,500,26255

12/10/00,600,26758

12/10/00,700,27763

12/10/00,800,28941

12/10/00,900,30120

12/10/00,1000,31021

12/10/00,1100,31165

12/10/00,1200,30921

12/10/00,1300,30551

12/10/00,1400,30528

12/10/00,1500,30389

12/10/00,1600,30566

12/10/00,1700,32384

12/10/00,1800,34659

12/10/00,1900,34753

12/10/00,2000,34458

12/10/00,2100,33932

12/10/00,2200,32751

12/10/00,2300,30551

12/10/00,2400,28229

12/09/00,100,28274

12/09/00,200,27219

12/09/00,300,26570

12/09/00,400,26515

12/09/00,500,26696

12/09/00,600,27560

12/09/00,700,29031

12/09/00,800,30374

12/09/00,900,31837

12/09/00,1000,32391

12/09/00,1100,32081

12/09/00,1200,31726

12/09/00,1300,30612

12/09/00,1400,29844

12/09/00,1500,29348

12/09/00,1600,29222

12/09/00,1700,30995

12/09/00,1800,34461

12/09/00,1900,34947

12/09/00,2000,34511

12/09/00,2100,33936

12/09/00,2200,33142

12/09/00,2300,31823

12/09/00,2400,29857

12/08/00,100,28833

12/08/00,200,27804

12/08/00,300,27259

12/08/00,400,27099

