Date,Hour,PJM_Load
11/15/00,200,24583

11/15/00,300,24324

11/15/00,400,24201

11/15/00,500,24645

11/15/00,600,26748

11/15/00,700,30509

11/15/00,800,32425

11/15/00,900,32591

11/15/00,1000,32449

11/15/00,1100,32367

11/15/00,1200,32150

11/15/00,1300,31845

11/15/00,1400,31786

11/15/00,1500,31368

11/15/00,1600,31485

11/15/00,1700,32562

11/15/00,1800,35089

11/15/00,1900,35332

11/15/00,2000,34738

11/15/00,2100,34058

11/15/00,2200,32500

11/15/00,2300,30145

11/15/00,2400,27624

11/14/00,100,23557

11/14/00,200,22640

11/14/00,300,22090

11/14/00,400,22044

11/14/00,500,22436

11/14/00,600,24215

11/14/00,700,28063

11/14/00,800,30606

11/14/00,900,31228

11/14/00,1000,31444

11/14/00,1100,31858

11/14/00,1200,32179

11/14/00,1300,31713

11/14/00,1400,31449

11/14/00,1500,31314

11/14/00,1600,31115

11/14/00,1700,31916

11/14/00,1800,34410

11/14/00,1900,34533

11/14/00,2000,33990

11/14/00,2100,33096

11/14/00,2200,31830

11/14/00,2300,29535

11/14/00,2400,26998

11/13/00,100,22648

11/13/00,200,21909

11/13/00,300,21670

11/13/00,400,21822

11/13/00,500,22345

11/13/00,600,24493

11/13/00,700,28583

11/13/00,800,30747

11/13/00,900,31369

11/13/00,1000,31367

11/13/00,1100,31521

11/13/00,1200,31333

11/13/00,1300,30910

11/13/00,1400,30905

11/13/00,1500,30883

11/13/00,1600,30835

11/13/00,1700,32019

11/13/00,1800,34274

11/13/00,1900,34004

11/13/00,2000,33317

11/13/00,2100,32279

11/13/00,2200,30381

11/13/00,2300,27861

11/13/00,2400,25459

11/12/00,100,22545

11/12/00,200,21541

11/12/00,300,21032

11/12/00,400,20688

11/12/00,500,20735

11/12/00,600,21140

11/12/00,700,21915

11/12/00,800,22794

11/12/00,900,24395

11/12/00,1000,25415

11/12/00,1100,25740

11/12/00,1200,25804

11/12/00,1300,25521

11/12/00,1400,25282

11/12/00,1500,25000

11/12/00,1600,25193

